"rt","stimulus","response","participant","trial"
9098.79999995232,"videos/fs2y.mp4",10,55,3
3791.70000004768,"dot2_26",35,55,4
3833.60000002384,"videos/fs2o.mp4",18,55,5
6836.79999995232,"dot2_52",45,55,6
4227.39999997616,"videos/fs1yo.mp4",25,56,1
7439.89999997616,"dot1_13_26",26,56,2
2586.79999995232,"videos/fs2y.mp4",15,56,3
3138.10000002384,"dot2_26",30,56,4
3869,"videos/fs2o.mp4",13,56,5
2080.09999996424,"dot2_52",50,56,6
10306,"videos/fs2yo.mp4",17,57,1
7151,"dot2_26_52",25,57,2
3283,"videos/fs1y.mp4",30,57,3
8595,"dot1_13",17,57,4
3796,"videos/fs1o.mp4",30,57,5
4196,"dot1_26",30,57,6
5662.89999997616,"videos/fs1yo.mp4",37,58,1
3848.39999997616,"dot1_13_26",19,58,2
2936.5,"videos/fs2y.mp4",22,58,3
2956.39999997616,"dot2_26",20,58,4
5504.5,"videos/fs2o.mp4",16,58,5
2573,"dot2_52",27,58,6
3593.19999999925,"videos/fs1yo.mp4",50,59,1
3300,"dot1_13_26",19,59,2
2329.30000000075,"videos/fs2y.mp4",12,59,3
2948,"dot2_26",24,59,4
3123.60000000149,"videos/fs2o.mp4",18,59,5
3346.69999999925,"dot2_52",32,59,6
5188.19999999553,"videos/fs1yo.mp4",19,60,1
5223.70000000298,"dot1_13_26",25,60,2
3029.89999999851,"videos/fs2y.mp4",13,60,3
3058.10000000149,"dot2_26",15,60,4
3758.40000000596,"videos/fs2o.mp4",18,60,5
2686,"dot2_52",35,60,6
7389,"videos/fs1yo.mp4",25,61,1
13818,"dot1_13_26",26,61,2
2965,"videos/fs2y.mp4",20,61,3
6606,"dot2_26",26,61,4
1172,"videos/fs2o.mp4",24,61,5
8681,"dot2_52",40,61,6
4330.40000009537,"videos/fs2yo.mp4",18,62,1
3283.30000007153,"dot2_26_52",40,62,2
2374.30000007153,"videos/fs1y.mp4",10,62,3
2698,"dot1_13",15,62,4
2378.10000002384,"videos/fs1o.mp4",19,62,5
1924.5,"dot1_26",20,62,6
7877.69999992847,"videos/fs2yo.mp4",15,63,1
3737.60000002384,"dot2_26_52",20,63,2
6427.20000004768,"videos/fs1y.mp4",20,63,3
5567.60000002384,"dot1_13",14,63,4
2688,"videos/fs1o.mp4",23,63,5
7224.70000004768,"dot1_26",16,63,6
3547.19999999925,"videos/fs2yo.mp4",25,64,1
3346.5,"dot2_26_52",30,64,2
2068.70000000112,"videos/fs1y.mp4",6,64,3
2962.30000000075,"dot1_13",13,64,4
1942,"videos/fs1o.mp4",16,64,5
2292.90000000037,"dot1_26",24,64,6
10697.700000003,"videos/fs2yo.mp4",18,65,1
3609.5,"dot2_26_52",30,65,2
2392.89999999106,"videos/fs1y.mp4",7,65,3
1972.20000000298,"dot1_13",12,65,4
1987.39999999106,"videos/fs1o.mp4",20,65,5
2123.30000001192,"dot1_26",25,65,6
15115.5,"videos/fs2yo.mp4",54,66,1
4610.19999998808,"dot2_26_52",50,66,2
8156.19999998808,"videos/fs1y.mp4",9,66,3
5351.29999998212,"dot1_13",11,66,4
4294.29999998212,"videos/fs1o.mp4",19,66,5
3448.90000000596,"dot1_26",25,66,6
6301,"videos/fs1yo.mp4",22,67,1
5802,"dot1_13_26",30,67,2
2498,"videos/fs2y.mp4",15,67,3
2188,"dot2_26",25,67,4
2230,"videos/fs2o.mp4",20,67,5
2387,"dot2_52",40,67,6
8986.5,"videos/fs2yo.mp4",25,68,1
4140.69999999925,"dot2_26_52",30,68,2
2129.40000000037,"videos/fs1y.mp4",35,68,3
2990.69999999925,"dot1_13",15,68,4
1723.59999999963,"videos/fs1o.mp4",43,68,5
2397.40000000037,"dot1_26",30,68,6
6735.09999999404,"videos/fs2yo.mp4",28,69,1
3576.70000000298,"dot2_26_52",25,69,2
3588,"videos/fs1y.mp4",12,69,3
3003.29999999702,"dot1_13",12,69,4
5396,"videos/fs1o.mp4",15,69,5
4025.5,"dot1_26",30,69,6
6749.90000000037,"videos/fs2yo.mp4",19,70,1
3764.60000000009,"dot2_26_52",14,70,2
3844.39999999991,"videos/fs1y.mp4",9,70,3
2880.5,"dot1_13",15,70,4
2993.79999999981,"videos/fs1o.mp4",24,70,5
1002.39999999991,"dot1_26",26,70,6
3044.29999995232,"videos/fs1yo.mp4",20,71,1
2797.79999995232,"dot1_13_26",25,71,2
4333.40000009537,"videos/fs2y.mp4",6,71,3
2493.5,"dot2_26",25,71,4
2814.80000019073,"videos/fs2o.mp4",15,71,5
2586.70000004768,"dot2_52",50,71,6
6769.40000009537,"videos/fs1yo.mp4",10,72,1
11359.8999999762,"dot1_13_26",30,72,2
2364.80000007153,"videos/fs2y.mp4",5,72,3
5360.20000004768,"dot2_26",29,72,4
4797.60000002384,"videos/fs2o.mp4",14,72,5
5044.20000004768,"dot2_52",45,72,6
3353,"videos/fs1yo.mp4",33,73,1
3674,"dot1_13_26",45,73,2
1550,"videos/fs2y.mp4",4,73,3
1924,"dot2_26",40,73,4
1682,"videos/fs2o.mp4",16,73,5
1138,"dot2_52",50,73,6
10196.5,"videos/fs1yo.mp4",24,74,1
7317.80000000075,"dot1_13_26",30,74,2
6165.5,"videos/fs2y.mp4",16,74,3
4212.59999999776,"dot2_26",28,74,4
3584.10000000149,"videos/fs2o.mp4",26,74,5
4328.19999999925,"dot2_52",35,74,6
5361,"videos/fs1yo.mp4",25,75,1
6191,"dot1_13_26",18,75,2
4133,"videos/fs2y.mp4",12,75,3
5124,"dot2_26",25,75,4
4189,"videos/fs2o.mp4",27,75,5
3224,"dot2_52",36,75,6
8948.59999990463,"videos/fs1yo.mp4",23,76,1
5687.39999985695,"dot1_13_26",25,76,2
6027.20000004768,"videos/fs2y.mp4",13,76,3
6937,"dot2_26",28,76,4
4394.29999995232,"videos/fs2o.mp4",28,76,5
3662.09999990463,"dot2_52",40,76,6
6275.79999998212,"videos/fs1yo.mp4",16,77,1
6872.10000002384,"dot1_13_26",22,77,2
895.59999999404,"videos/fs2y.mp4",9,77,3
1271.90000000596,"dot2_26",19,77,4
1801.59999999404,"videos/fs2o.mp4",20,77,5
2179.40000000596,"dot2_52",45,77,6
122954,"videos/fs1yo.mp4",25,78,1
6140,"dot1_13_26",40,78,2
2835,"videos/fs2y.mp4",28,78,3
2951,"dot2_26",40,78,4
